Date,Views,Unique
2023-10-29 14:18:00,8255,603
2023-11-01 02:21:00,9062,610
2023-11-04 00:32:00,8669,593
2023-11-17 08:26:00,7130,548
2023-11-22 10:49:00,8148,575
2023-11-26 21:36:00,8643,579
2023-12-11 10:41:00,7992,530
2024-02-02 10:04:00,9414,540
2024-02-22 19:33:00,8619,562
2024-03-08 15:12:00,10565,599
2024-03-08 15:12:00,10565,599
2024-03-11 13:20:00,9697,569
2024-08-01 11:05:00,7696,461
2024-08-14 13:21:00,6470,408
2024-08-18 23:21:00,6626,403
2024-11-07 11:44:00,4286,460
2025-01-01 12:48:55,1778,222
2025-01-05 17:55:56,1682,165
2025-01-27 14:54:49,3731,436
2025-01-28 00:52:34,3829,438
2025-01-29 00:52:34,4829,438
2025-01-30 00:52:34,5829,438
2025-02-01 00:52:34,10829,438
